entidad,pais_de_origen,anio,trimestre,fecha,millones_de_dolares
Hidalgo,South Africa,2010,2,2010-06-01,3.71106
Aguascalientes,Gibraltar,2018,4,2018-12-01,4.575675
Coahuila,Malta,2010,1,2010-03-01,6.198317
Hidalgo,Morocco,2016,2,2016-06-01,8.551134
Veracruz,Mexico,2003,1,2003-03-01,7.803306
Morelos,Liberia,2010,2,2010-06-01,5.779993
Nayarit,American Samoa,2010,4,2010-12-01,2.098276
Estado de México,American Samoa,2013,2,2013-06-01,6.100586
Puebla,Guadeloupe,2023,3,2023-09-01,6.527836
Durango,Benin,2002,3,2002-09-01,4.231184
Baja California,Greenland,2018,1,2018-03-01,5.938203
Campeche,Jamaica,2016,2,2016-06-01,5.542128
Guanajuato,Cyprus,2010,2,2010-06-01,9.448282
Colima,Singapore,2002,3,2002-09-01,4.106328
Estado de México,Burkina Faso,2006,4,2006-12-01,8.716596
Aguascalientes,North Macedonia,2000,4,2000-12-01,8.4057
Hidalgo,Aruba,2001,3,2001-09-01,7.022029
Jalisco,Tanzania,2002,2,2002-06-01,6.025512
Coahuila,Saudi Arabia,2003,1,2003-03-01,7.257462
Estado de México,Malta,2022,4,2022-12-01,7.670908
Hidalgo,Eritrea,2016,2,2016-06-01,9.210279
Colima,Ethiopia,2016,3,2016-09-01,1.13927
Durango,Greece,2021,4,2021-12-01,2.948744
Yucatán,Eritrea,2012,4,2012-12-01,2.291843
Guanajuato,Malta,2018,3,2018-09-01,9.791072
Sonora,Venezuela,2018,2,2018-06-01,9.040382
Colima,Mexico,2014,4,2014-12-01,3.464541
Campeche,Saint Pierre and Miquelon,2011,2,2011-06-01,1.518236
Campeche,Ethiopia,2007,3,2007-09-01,0.146757
Sinaloa,Singapore,2013,4,2013-12-01,6.308574
San Luis Potosí,Saint Kitts and Nevis,2005,3,2005-09-01,9.695206
Ciudad de México,Poland,2018,4,2018-12-01,4.873483
Campeche,Guinea-Bissau,2013,3,2013-09-01,4.825413
Tamaulipas,Saint Barthelemy,2009,4,2009-12-01,7.645774
Aguascalientes,Malaysia,2000,1,2000-03-01,0.391181
Aguascalientes,Mozambique,2003,2,2003-06-01,3.757484
Hidalgo,Guinea-Bissau,2000,4,2000-12-01,2.423562
Michoacán,San Marino,2016,1,2016-03-01,3.251688
Morelos,Ethiopia,2017,2,2017-06-01,6.828839
San Luis Potosí,Belarus,2021,3,2021-09-01,5.588582
Tlaxcala,Lithuania,2020,1,2020-03-01,7.825636
Tamaulipas,Poland,2014,2,2014-06-01,6.993565
Tlaxcala,Mozambique,2020,1,2020-03-01,1.687312
Tlaxcala,Bolivia,2009,2,2009-06-01,0.807049
Sonora,Mali,2017,4,2017-12-01,3.971829
Ciudad de México,Eritrea,2012,2,2012-06-01,8.989811
Aguascalientes,Mayotte,2009,3,2009-09-01,3.043238
Jalisco,Benin,2016,1,2016-03-01,3.680473
Puebla,Malaysia,2015,1,2015-03-01,9.001464
Baja California Sur,Netherlands Antilles,2011,2,2011-06-01,4.751034
Chiapas,Afghanistan,2009,1,2009-03-01,5.939684
Baja California,Bolivia,2021,3,2021-09-01,9.952947
Sinaloa,Fiji,2001,4,2001-12-01,3.060243
Aguascalientes,Cambodia,2001,2,2001-06-01,0.455136
Ciudad de México,Brazil,2023,2,2023-06-01,4.759765
Quintana Roo,Paraguay,2000,2,2000-06-01,4.303961
Nuevo León,Libyan Arab Jamahiriya,2012,1,2012-03-01,6.124579
Aguascalientes,Jordan,2018,2,2018-06-01,0.042197
Chihuahua,Greenland,2008,2,2008-06-01,9.586157
Veracruz,Tanzania,2020,3,2020-09-01,1.827498
